id,name,area,WKT
1,INF 348,1289.213,"MULTIPOLYGON (((8.66874291951303 49.4177208349224,8.66913622716842 49.4177167949942,8.66913829720871 49.4179080178969,8.6694591534539 49.4179066712594,8.66946743361506 49.4177841270872,8.66957714575052 49.4177787405231,8.66957714575052 49.4176413829403,8.66942396276894 49.4176292631352,8.66905756563734 49.4176359963606,8.66906170571792 49.4175659707706,8.66874498955332 49.4175740506515,8.66874291951303 49.4177208349224)))"
2,Berliner Strasse 48,851.566,"MULTIPOLYGON (((8.67666806898617 49.4188932402556,8.67693163923195 49.418892467919,8.67693282648531 49.4187727556009,8.67690789416477 49.4187719832624,8.67690908141813 49.4185124768436,8.67694944803234 49.4185093874732,8.67694588627227 49.4185541833248,8.67724269961211 49.4185510939571,8.67724626137219 49.4184452829936,8.67695300979242 49.4184491447116,8.6769506352857 49.4184931682754,8.67691026867148 49.418495485304,8.67691383043156 49.4184699979836,8.67676542376164 49.4184730873565,8.67677017277508 49.4187735279394,8.67667163074625 49.4187758449547,8.67666806898617 49.4188932402556)))"
